#DeCS_code	Term_Spanish	Term_English	MeSH_code	Synonyms
21	solicitantes de aborto	Abortion Applicants	D000023	Interesados en Aborto|demandantes de aborto
22	abortivos	Abortifacient Agents	D000019	Agentes Abortivos|Efecto Abortivo|sustancias abortivas
23	abortivos no esteroideos	Abortifacient Agents, Nonsteroidal	D000020	Agentes Abortivos no Esteroideos|Agentes Abortivos no Esteroides|abortivos no esteroides
24	abortivos esteroideos	Abortifacient Agents, Steroidal	D000021	Agentes Abortivos Esteroideos|Agentes Abortivos Esteroides|abortivos esteroides
25	aborto espontáneo	Abortion, Spontaneous	D000022	Aborto Natural|Aborto Tubario|Abortos Espontáneos|Abortos Tubarios|Pérdida Precoz del Embarazo|Pérdida Temprana del Embarazo|Pérdidas Precoces del Embarazo|Pérdidas Tempranas de los Embarazos
26	aborto criminal	Abortion, Criminal	D000024	aborto ilegal
27	aborto eugenésico	Abortion, Eugenic	D000025	Aborto Eugénico
28	aborto habitual	Abortion, Habitual	D000026	Pérdida Recurrente del Embrión|aborto de repetición|aborto espontáneo recurrente|aborto recurrente|pérdida prematura recurrente del embarazo
29	aborto incompleto	Abortion, Incomplete	D000027	-
30	aborto inducido	Abortion, Induced	D000028	Tasa de Aborto|Índice de Aborto|Índice de Abortos|aborto provocado|embriotomía|tasa de abortos
31	aborto legal	Abortion, Legal	D000029	aborto por demanda
32	aborto retenido	Abortion, Missed	D000030	aborto frustrado
33	aborto séptico	Abortion, Septic	D000031	-
34	aborto terapéutico	Abortion, Therapeutic	D000032	-
35	aborto veterinario	Abortion, Veterinary	D000034	-
37	amenaza de aborto	Abortion, Threatened	D000033	amenaza de aborto involuntario
38	abreacción	Abreaction	D000035	-
39	abrina	Abrin	D000036	-
40	desprendimiento prematuro de la placenta	Abruptio Placentae	D000037	abruptio placentae|desprendimiento placentario|desprendimiento placentario prematuro
41	absceso	Abscess	D000038	-
44	absentismo laboral	Absenteeism	D000041	Absentismo Laboral|Abstencionismo|Ausencia|absentismo|ausencia laboral|ausentismo
45	absorción	Absorption	D000042	-
46	resumen e indización como asunto	Abstracting and Indexing as Topic	D000043	Indexación como Tema|Indización como Tema|Resumen como Tema|Resumen e Indexación como Asunto|Resumen e Indexación como Tema|Resumen e Indización como Tema|Índices como Asunto|Índices como Tema|indexación como asunto|indización como asunto|resumen como asunto
48	Acacia	Acacia	D000045	Acacia Australiana
49	centros médicos académicos	Academic Medical Centers	D000046	centros médicos universitarios
50	academias e institutos	Academies and Institutes	D000047	institutos|institutos de investigación
51	Acanthocephala	Acanthocephala	D000049	Acanthocephala|acantocéfalos|gusanos de cabeza espinosa
52	Dipetalonema	Dipetalonema	D004153	-
53	infecciones por Dipetalonema	Dipetalonema Infections	D004154	dipetalonemiasis
54	acantocitos	Acanthocytes	D000050	-
56	acantosis nigricans	Acanthosis Nigricans	D000052	-
58	ácaros y garrapatas	Acari	D000053	Acari|Acarina
59	aceleración	Acceleration	D000054	-
60	nervio accesorio	Accessory Nerve	D000055	Nervio Craneal XI|XI nervio craneal|XI par craneal|nervio espinal accesorio|onceavo nervio craneal
61	prevención de accidentes	Accident Prevention	D000056	-
62	propensión a los accidentes	Accident Proneness	D000057	Propensión a Accidentes
68	aclimatación	Acclimatization	D000064	Aclimación
69	acomodación ocular	Accommodation, Ocular	D000065	-
70	contabilidad	Accounting	D000066	-
71	contabilidad de pagos y cobros	Accounts Payable and Receivable	D000067	-
72	acreditación	Accreditation	D000068	-
73	aculturación	Acculturation	D000069	-
74	acebutolol	Acebutolol	D000070	-
76	acedapsona	Acedapsone	D000072	Acetildifenazono|DADDS|acetildifenazona|diacetildapsona
77	acenaftenos	Acenaphthenes	D000073	-
78	acenocumarol	Acenocoumarol	D000074	acenocumarina|nicumalona
79	acepromacina	Acepromazine	D000075	Acepromacina|Acetacina|Acetilpromacina|Acetopromacina|Acetopromazina|acepromazina|acetazina|acetilpromazina|acetoprommazina
80	Acetabularia	Acetabularia	D000076	-
81	acetábulo	Acetabulum	D000077	cavidad cotiloidea|cótilo
83	acetaldehído	Acetaldehyde	D000079	-
84	acetales	Acetals	D000080	-
85	acetamidas	Acetamides	D000081	acetamida
86	acetaminofén	Acetaminophen	D000082	Acetaminofeno|acetamidofenol|hidroxiacetanilida|paracetamol
87	acetanilidas	Acetanilides	D000083	acetanilida
88	acetato cinasa	Acetate Kinase	D000084	Acetato Quinasa
89	acetatos	Acetates	D000085	Ésteres del Ácido Acético|ésteres del ácido acético
91	acetazolamida	Acetazolamide	D000086	-
95	anhídridos acéticos	Acetic Anhydrides	D000089	óxido acético|óxido de acetilo
96	acetoacetatos	Acetoacetates	D000090	-
97	acetohexamida	Acetohexamide	D000092	-
98	acetoína	Acetoin	D000093	acetilmetilcarbinol
99	acetoina deshidrogenasa	Acetoin Dehydrogenase	D000094	diacetil reductasa|diacetilo reductasa
100	acetolactato sintasa	Acetolactate Synthase	D000095	Sintetasa del Ácido Acetohidroxi|Ácido Acetohidroxi Sintasa|Ácido Acetohidroxi Sintetasa|acetohidroxiácido sintasa|acetohidroxiácido sintetasa|acetolactato sintetasa
101	2-acetolactato mutasa	2-Acetolactate Mutase	D015072	2-Acetohidroxi-3-Cetoácido Isomerorreductasa|Reductoisomerasa del Ácido Acetohidroxi|2-acetohidroxi 3-cetoácido isomeroreductasa|ácido acetohidroxi reductoisonerasa
103	acetona	Acetone	D000096	-
104	acetonitrilos	Acetonitriles	D000097	Metil Cianidas|Nitrilo Etanos|cianometanos|etano nitrilos|metilo cianidas
106	acetofenonas	Acetophenones	D000098	-
107	acetoxiacetilaminofluoreno	Acetoxyacetylaminofluorene	D000099	acetoxiacetamidofluoreno|acetoxifluorenilacetamida
108	ácido acetrizoico	Acetrizoic Acid	D000100	-
109	acetil-CoA C-acetiltransferasa	Acetyl-CoA C-Acetyltransferase	D000101	Acetil-CoA Acetiltransferasa|Acetilcoenzima A Acetiltransferasa|Acetoacetil CoA Tiolasa|acetil CoA acetiltransferasa|acetil-coenzima A acetiltransferasa|acetoacil CoA tiolasa
110	acetil-CoA C-aciltransferasa	Acetyl-CoA C-Acyltransferase	D000102	3-Cetoacil CoA Tiolasa|Acetil CoA Aciltransferasa|Acetilcoenzima A Aciltransferasa|betacetotiolasa|3-cetoacil-CoA tiolasa|3-cetotiolasa|acetil-CoA aciltransferasa|acetil-coenzima A aciltransferasa|beta-cetotiolasa
111	acetil-CoA carboxilasa	Acetyl-CoA Carboxylase	D000103	Acetilcoenzima A Carboxilasa|acetil-coenzima A carboxilasa
112	acetil-CoA hidrolasa	Acetyl-CoA Hydrolase	D000104	Acetil-CoA Deacilasa|acetil coenzima A acilasa|acetil coenzima A hidrolasa|acetil-CoA acilasa|acetil-CoA desacilasa|acetil-coenzima A desacilasa|acetil-coenzima A hidrolasa
113	acetil coenzima A	Acetyl Coenzyme A	D000105	acetil CoA|Acetilcoenzima A
114	acetato-CoA ligasa	Acetate-CoA Ligase	D000106	Acetato Tioquinasa|Acetil CoA Sintetasa|acetato tiocinasa|acetil-CoA sintetasa|enzima activadora de acetilo|Acetato CoA Ligasa
115	2-acetilaminofluoreno	2-Acetylaminofluorene	D015073	2-Acetamidofluoreno|Fluoren-2-ilacetamido|2-acetilamidofluoreno|2-fluorenilacetamida
116	acetilación	Acetylation	D000107	-
117	acetilcarnitina	Acetylcarnitine	D000108	Medosan|acetil carnitina
119	acetilcolinesterasa	Acetylcholinesterase	D000110	-
120	acetilcisteína	Acetylcysteine	D000111	Ácido Mercapturico|ácido mercaptúrico
121	acetildigitoxinas	Acetyldigitoxins	D000112	Desglucolanatosidos A|desglucolanatósidos A
122	acetildigoxinas	Acetyldigoxins	D000113	Desglucolanatosidos C|desglucolanatósidos C
123	acetileno	Acetylene	D000114	-
124	acetilesterasa	Acetylesterase	D000115	acetilasa
125	acetilgalactosamina	Acetylgalactosamine	D000116	-
126	acetilglucosamina	Acetylglucosamine	D000117	-
127	acetilglucosaminidasa	Acetylglucosaminidase	D000118	N-acetil-beta-D-glucosaminidasa
130	acecainida	Acecainide	D000120	acetilprocainamida
131	acetiltiocolina	Acetylthiocholine	D000122	-
132	acetiltransferasas	Acetyltransferases	D000123	-
133	logros	Achievement	D000124	Logro
134	tendón calcáneo	Achilles Tendon	D000125	tendón de Aquiles
135	aclorhidria	Achlorhydria	D000126	Achylia Gástrica|aquilia gástrica|hipoclorhidria
136	Acholeplasma	Acholeplasma	D000127	-
137	Acholeplasma laidlawii	Acholeplasma laidlawii	D000128	Mycoplasma laidlawii
138	Acholeplasmataceae	Acholeplasmataceae	D000129	-
139	acondroplasia	Achondroplasia	D000130	acondroplasia severa con retraso del desarrollo y acantosis nigricans
143	equilibrio ácido-base	Acid-Base Equilibrium	D000136	Equilibrio Acidobásico|Equilibrio Ácido-Básico|anión gap|equilibrio acido-básico|equilibrio ácidobasico
144	desequilibrio acidobásico	Acid-Base Imbalance	D000137	Desequilibrio Acidobásico|Desequilibrio Ácido-Básico|desequilibrio ácido-base|desequilibrio ácido-básico
145	grabado ácido dental	Acid Etching, Dental	D000134	-
146	fosfatasa ácida	Acid Phosphatase	D000135	-
147	acidosis	Acidosis	D000138	-
149	acidosis tubular renal	Acidosis, Renal Tubular	D000141	acidosis de los túbulos renales|acidosis renal tubular|acidosis tubular renal de tipo I|acidosis tubular renal de tipo II|acidosis tubular renal distal|acidosis tubular renal proximal|acidosis tubular renal tipo I|acidosis tubular renal tipo II
150	acidosis respiratoria	Acidosis, Respiratory	D000142	-
151	ácidos	Acids	D000143	-
152	ácidos acíclicos	Acids, Acyclic	D000144	-
153	ácidos aldehídicos	Acids, Aldehydic	D000145	-
154	ácidos carbocíclicos	Acids, Carbocyclic	D000146	-
155	ácidos heterocíclicos	Acids, Heterocyclic	D000147	-
156	ácidos no carboxílicos	Acids, Noncarboxylic	D000148	Ácidos Nocarboxílicos
157	fluoruro de fosfato acidulado	Acidulated Phosphate Fluoride	D000149	flúor fosfato acidulado
158	Acinetobacter	Acinetobacter	D000150	Herellea|Mima
160	acné queloide	Acne Keloid	D000153	Acné Queloidal|acné queloideo
161	aconitato hidratasa	Aconitate Hydratase	D000154	Citrato Hidroliasa|aconitasa|isocitrato hidroliasa
163	ácido aconítico	Aconitic Acid	D000156	-
164	aconitina	Aconitine	D000157	acetilbenzoilaconina
165	pruebas de impedancia acústica	Acoustic Impedance Tests	D000158	Tests de Impedancia Acústica|Tests de Impedancia Electroacustica|audiometría de impedancia|prueba de impedancia electroacústica|pruebas de impedancia electroacústica|timpanometría
166	nervio vestibulococlear	Vestibulocochlear Nerve	D000159	Nervio Craneal VIII|VIII nervio craneal|VIII par craneal|nervio estatoacústico|octavo nervio craneal
167	enfermedades del nervio vestibulococlear	Vestibulocochlear Nerve Diseases	D000160	Enfermedades Craneales del VIII Nervio|enfermedades del VIII nervio craneal|enfermedades del VIII par craneal|enfermedades del nervio acústico|enfermedades del nervio coclear|enfermedades del nervio vestibular
168	estimulación acústica	Acoustic Stimulation	D000161	estimulación auditiva
169	acústica	Acoustics	D000162	-
171	naranja de acridina	Acridine Orange	D000165	Acridina Naranja|Diamina Acridina Tetrametil|diamina de tetrametilacridina|naranja acridina
172	acridinas	Acridines	D000166	-
173	acriflavina	Acriflavine	D000167	Xantacridino|xantacridina
174	acrocefalosindactilia	Acrocephalosyndactylia	D000168	síndrome de Apert|síndrome de Pfeiffer|síndrome de Saethre-Chotzen
175	acrodermatitis	Acrodermatitis	D000169	acrodermatitis papular infantil|acrodermatitis papulosa de la infancia|síndrome de Gianotti-Crosti
176	acrodinia	Acrodynia	D000170	enfermedad de Feer|enfermedad de Swift|enfermedad rosada
177	acroleína	Acrolein	D000171	-
178	acromegalia	Acromegaly	D000172	síndrome de hipersecreción de somatotropina (acromegalia)|síndrome de secreción inapropiada de hormona del crecimiento (acromegalia)
179	articulación acromioclavicular	Acromioclavicular Joint	D000173	Arco Coracoacromial|Ligamento Coracoacromial|arco acromiocoracoideo|ligamento acromiocoracoideo
180	acromion	Acromion	D000174	Proceso Acromión|apófisis acromial|proceso acromial
181	acrosoma	Acrosome	D000177	-
182	acronina	Acronine	D000175	acronicina
184	acrilamidas	Acrylamides	D000178	-
185	acrilatos	Acrylates	D000179	-
186	resinas acrílicas	Acrylic Resins	D000180	-
187	acrilonitrilo	Acrylonitrile	D000181	Vinil Cianuro|cianuro de vinilo
188	síndrome de ACTH ectópico	ACTH Syndrome, Ectopic	D000182	síndrome de secreción ectópica de ACTH
189	actihemil	Actihaemyl	D000183	solcoseril|Actiemil
190	actuación (psicología)	Acting Out	D000184	paso al acto
191	actinina	Actinin	D000185	actinina alfa|alfa-actinina
193	actinobacilosis	Actinobacillosis	D000187	-
195	infecciones por Actinobacillus	Actinobacillus Infections	D000189	-
198	Actinomyces	Actinomyces	D000190	-
199	Actinomycetaceae	Actinomycetaceae	D000191	-
200	Actinomycetales	Actinomycetales	D000192	Grupo Coryneforme|Corynebacteriaceae|grupo corineforme
201	infecciones por Actinomycetales	Actinomycetales Infections	D000193	infecciones por actinomicetos
204	actinomicosis	Actinomycosis	D000196	infecciones por Actinomyces
205	actinomicosis cervicofacial	Actinomycosis, Cervicofacial	D000197	-
208	potenciales de acción	Action Potentials	D000200	Potenciales de Espiga|potenciales en espiga
210	análisis de radiactividad	Activation Analysis	D000201	Análisis de Activación|Análisis de Radiactividad|análisis de la radiactividad|análisis de radioactividad|Análisis por Activación
211	aparatos activadores	Activator Appliances	D000202	Bionator|activadores|aparato de Andresen|aparatos activadores de ortodoncia
212	actividades de la vida diaria	Activities of Daily Living	D000203	ADL|Actividades de la Vida Diaria|ABVD|AVD|actividades básicas de la vida diaria|actividades cotidianas|actividades diarias|limitación crónica de la actividad|limitación de la actividad crónica
213	ciclos de actividad	Activity Cycles	D000204	-
214	actinomiosina	Actomyosin	D000205	Actomiosina
220	aciclovir	Acyclovir	D000212	acicloguanosina
221	proteína portadora de acilos	Acyl Carrier Protein	D000213	Proteína Transportadora de Acilo
222	acil coenzima A	Acyl Coenzyme A	D000214	acil CoA|acil CoA de cadena larga|acil CoA de ácidos grasos|acil CoA grasa|Acilcoenzima A
223	acilación	Acylation	D000215	-
224	N-acilneuraminato citidiltransferasa	N-Acylneuraminate Cytidylyltransferase	D000216	Acilneuraminato Citidililtransferasa|CMP Sialato Pirofosforilasa|Sintetasa del Ácido CMP-N-Acetilneuramínico|CMP sialato pirofosfatasa|CMP sialato sintasa|CMP-N-acetilneuramínico sintetasa|acilneuraminato citidiltransferasa|N-Acilneuraminato Citidililtransferasa
225	aciltransferasas	Acyltransferases	D000217	-
226	adamantano	Adamantane	D000218	-
227	síndrome de Adams-Stokes	Adams-Stokes Syndrome	D000219	ataques de Stokes-Adams
228	adaptación biológica	Adaptation, Biological	D000220	mimetismo
229	adaptación ocular	Adaptation, Ocular	D000221	adaptación a la luz
230	adaptación fisiológica	Adaptation, Physiological	D000222	plasticidad adaptativa|plasticidad fenotípica
231	adaptación psicológica	Adaptation, Psychological	D000223	Ajuste Psicológico|Conducta de Enfrentamiento|Enfrentamiento|Estrategias de Afrontamiento|Estrategias de Enfrentamiento|Habilidades de Afrontamiento|afrontamiento|conducta adaptativa|conducta de afrontamiento
232	enfermedad de Addison	Addison Disease	D000224	-
233	adenina	Adenine	D000225	Vitamina B 4|vitamina B4
234	translocasas mitocondriales de ADP y ATP	Mitochondrial ADP, ATP Translocases	D000226	adenina nucleótido translocasa|portador de ADP y ATP|proteína translocadora de ADP y ATP|translocasa de nucleótido de adenina
235	nucleótidos de adenina	Adenine Nucleotides	D000227	fosfatos de adenosina
236	adenina fosforribosiltransferasa	Adenine Phosphoribosyltransferase	D000228	AMP pirofosforilasa|transfosforribosidasa
238	adenocarcinoma	Adenocarcinoma	D000230	Carcinoma Cribriforme|adenocarcinoma basocelular|adenocarcinoma de células granulares|adenocarcinoma oxífilo|adenocarcinoma tubular|adenocarcinomas|adenoma maligno|carcinoma cribiforme|carcinoma de células granulares|carcinoma tubular
239	adenocarcinoma papilar	Adenocarcinoma, Papillary	D000231	-
240	adenofibroma	Adenofibroma	D000232	-
241	adenoidectomía	Adenoidectomy	D000233	-
242	tonsila faríngea	Adenoids	D000234	adenoides|amígdala faríngea|amígdalas faríngeas|tonsilas faríngeas
243	adenolinfoma	Adenolymphoma	D000235	adenocistoma papilar linfomatoso|cistadenoma linfomatoso papilar|cistoadenoma linfomatoso papilar|tumor de Warthin
244	adenoma	Adenoma	D000236	Adenoma Microcístico|adenoma basocelular|adenoma folicular|adenoma microquístico|adenoma monomorfo|adenoma monomórfico|adenoma papilar|adenoma trabecular
246	adenoma cromófobo	Adenoma, Chromophobe	D000238	-
249	adenosina	Adenosine	D000241	-
251	adenosina desaminasa	Adenosine Deaminase	D000243	Adenosindeaminasa|Adenosín Desaminasa|Adenosín-Desaminasa|Deaminasa de Adenosina|Desaminasa de Adenosina|adenosina aminohidrolasa|adenosindesaminasa
252	difosfato de adenosina	Adenosine Diphosphate	D000244	Adenosín Difosfato|Difosfato de Adenosina|Magnesio ADP|Pirofosfato de Adenosina|ADP|ADP de magnesio|MgADP|adenosina difosfato|adenosina pirofosfato
253	glucosa difosfato de adenosina	Adenosine Diphosphate Glucose	D000245	Adenosindifosfato Glucosa|Adenosín Difosfato Glucosa|ADP glucosa|ADPG|adenosina difosfato glucosa|adenosina difosfoglucosa|adenosina pirofosfatoglucosa|glucosa de ADP|pirofosfatoglucosa de adenosina
254	ribosa difosfato de adenosina	Adenosine Diphosphate Ribose	D000246	Adenosin Difosfato Ribosa|Adenosindifosfato Ribosa|ADP ribosa|adenosina difosfato ribosa|adenosina difosforribosa|adenosindifosfato de ribosa|difosforribosa de adenosina|ribosa de ADP
255	azúcares de difosfato de adenosina	Adenosine Diphosphate Sugars	D000247	Azúcares de Difosfato de Adenosina|ADP azúcares|azúcares de adenosina difosfato|azúcares de adenosindifosfato
256	adenosina cinasa	Adenosine Kinase	D000248	Adenosina Quinasa
257	monofosfato de adenosina	Adenosine Monophosphate	D000249	Adenosín Monofosfato|MFA|Monofosfato de Adenosina|Ácido Adenílico|AMP|adenosina monofosofato|adenosinmonofosfato|ácido adenílico|Adenosina Monofosfato
258	fosfosulfato de adenosina	Adenosine Phosphosulfate	D000250	Fosfosulfato de Adenosina|Sulfato de Adenilil|adenilil-sulfato|adenosina fosfosulfato|sulfato de adenililo|sulfatofosfato de adenosina
262	trifosfato de adenosina	Adenosine Triphosphate	D000255	Adenosín Trifosfato|MnATP|Sal Crómica de Adenosina Trifosfato|Sal Cálcica de Adenosina Trifosfato|Sal Magnésica de Adenosina Trifosfato|Sal Manganésica de Adenosina Trifosfato|Trifosfato de Adenosina|ATP|CaATP|CrATP|MgATP|adenilpirofosfato|adenosina trifosfato|adenosina trifosfato de manganeso|sal crómica de trifosfato de adenosina|sal cálcica de trifosfato de adenosina|sal magnésica de trifosfato de adenosina|sal manganésica de trifosfato de adenosina
263	Adenoviridae	Adenoviridae	D000256	Ichtadenovirus
265	infecciones por adenovirus humanos	Adenovirus Infections, Human	D000258	Fiebre Faringo-Conjuntiva|fiebre faringoconjuntival
267	adenovirus humanos	Adenoviruses, Human	D000260	adenovirus humano|virus APC
268	adenovirus de los simios	Adenoviruses, Simian	D000261	-
269	adenilil ciclasas	Adenylyl Cyclases	D000262	adenil ciclasa|adenilato ciclasa|adenilato-ciclasa
270	adenilato cinasa	Adenylate Kinase	D000263	Adenilato Cinasa|miocinasa|mioquinasa|Adenilato Quinasa
271	adenilosuccinato cinasa	Adenylosuccinate Lyase	D000264	adenilosuccinasa|Adenilosuccinato Liasa
272	adenilosuccinato sintasa	Adenylosuccinate Synthase	D000265	-
273	imidodifosfato de adenililo	Adenylyl Imidodiphosphate	D000266	ATP gamma-imino|ATP gammaimino|adenil imidodifosfato|gamma imino-ATP|gamma-imino-ATP|gammaimino-ATP|imidodifosfato de adenilo|Adenilil Imidodifosfato
274	adherencias tisulares	Tissue Adhesions	D000267	-
275	adhesividad	Adhesiveness	D000268	-
276	adhesivos	Adhesives	D000269	Agentes de Unión|Gomas|Mucílagos Adhesivos|pegamentos
279	adipatos	Adipates	D000272	Ácidos Adípicos|ácidos adípicos
280	tejido adiposo	Adipose Tissue	D000273	tejido graso
281	adiposis dolorosa	Adiposis Dolorosa	D000274	enfermedad de Dercum|lipomatosis dolorosa
282	trastornos de adaptación	Adjustment Disorders	D000275	Trastorno Situacional Transitorio|Trastornos de Ajuste|depresión reactiva|perturbación situacional transitoria|reacción de aniversario|trastornos adaptativos|trastornos reactivos
284	adyuvantes farmacéuticos	Adjuvants, Pharmaceutic	D000277	Coagentes Farmacéuticos
286	administración oral	Administration, Oral	D000284	Administración Oral de Drogas|administración de medicamentos por vía oral
287	administración tópica	Administration, Topical	D000287	Administración Tópica de Drogas|administración tópica de medicamentos
288	personal administrativo	Administrative Personnel	D000288	administradores
289	departamento de admisión hospitalaria	Admitting Department, Hospital	D000289	Departamento de Admisión Hospitalaria|Departamento de Admisión en Hospital|Oficina de Admisión en Hospital|Servicio de Admisión Hospitalaria|oficina de admisión hospitalaria|servicio de admisión|Servicio de Admisión en Hospital
290	anexos uterinos	Adnexa Uteri	D000290	anejos uterinos|apéndices uterinos
291	enfermedades de los anexos	Adnexal Diseases	D000291	-
292	enfermedad inflamatoria pélvica	Pelvic Inflammatory Disease	D000292	anexitis
297	conducta adolescente	Adolescent Behavior	D000294	comportamiento adolescente|Conducta del Adolescente
299	medicina del adolescente	Adolescent Medicine	D000295	Efebiatría|Hebiatría
300	psiquiatría del adolescente	Adolescent Psychiatry	D000296	-
301	psicología del adolescente	Psychology, Adolescent	D000297	-
304	adosterol	Adosterol	D000301	6-iodometilnorcolesterol|6-yodometilnorcolesterol|NP-59
305	corteza suprarrenal	Adrenal Cortex	D000302	corteza adrenal
306	enfermedades de la corteza suprarrenal	Adrenal Cortex Diseases	D000303	-
307	pruebas de función de la corteza suprarrenal	Adrenal Cortex Function Tests	D000304	tests de función de la corteza suprarrenal|tests de la función de la corteza suprarrenal
308	hormonas de la corteza suprarrenal	Adrenal Cortex Hormones	D000305	Hormonas de la Corteza Suprarrenal|corticoesteroides|corticoides|corticosteroides
309	neoplasias de la corteza suprarrenal	Adrenal Cortex Neoplasms	D000306	cáncer adrenocortical|cáncer corticosuprarrenal|cáncer de la corteza suprarrenal|tumores de la corteza suprarrenal
310	enfermedades de las glándulas suprarrenales	Adrenal Gland Diseases	D000307	-
311	hiperfunción corticosuprarrenal	Adrenocortical Hyperfunction	D000308	Hiperfunción Adrenocortical|hiperadrenocorticismo|hipercorticismo|hiperfunción de la corteza suprarrenal|Hiperfunción de las Glándulas Suprarrenales
312	insuficiencia suprarrenal	Adrenal Insufficiency	D000309	Insuficiencia Adrenocortical|hipofunción de las glándulas suprarrenales
313	neoplasias de las glándulas suprarrenales	Adrenal Gland Neoplasms	D000310	cáncer suprarrenal|tumores de las glándulas suprarrenales
314	glándulas suprarrenales	Adrenal Glands	D000311	Glándula Adrenal|glándula suprarrenal|glándulas adrenales
315	hiperplasia suprarrenal congénita	Adrenal Hyperplasia, Congenital	D000312	-
316	médula suprarrenal	Adrenal Medulla	D000313	médula adrenal
317	tumor de restos suprarrenales	Adrenal Rest Tumor	D000314	tumor de restos corticoadrenales|tumor de restos corticosuprarrenales|tumor de restos de la corteza suprarrenal|Tumor de Resto Suprarrenal
318	suprarrenalectomía	Adrenalectomy	D000315	Adrenalectomía
319	agonistas adrenérgicos alfa	Adrenergic alpha-Agonists	D000316	Agonistas Adrenérgicos alfa|adrenérgicos alfa|agonistas alfa-adrenérgicos|agonistas alfaadrenérgicos|agonistas de los receptores adrenérgicos alfa|agonistas de los receptores alfa-adrenérgicos|agonistas de los receptores alfaadrenérgicos|agonistas de receptores adrenérgicos alfa|alfa adrenérgicos|alfa-agonistas adrenérgicos
320	antagonistas adrenérgicos alfa	Adrenergic alpha-Antagonists	D000317	Agentes Bloqueadores Adrenérgicos alfa|Agentes Bloqueadores alfa-Adrenérgicos|Antagonistas alfa Adrenérgicos|Bloqueadores Adrenérgicos alfa|Bloqueadores alfa-Adrenérgicos|Bloqueadores de los Receptores Adrenérgicos alfa|Bloqueadores de los alfa-Receptores Adrenérgicos|alfa-Bloqueadores Adrenérgicos|agentes bloqueantes adrenérgicos alfa|agentes bloqueantes alfa adrenérgicos|alfa bloqueantes|alfa-antagonistas adrenérgicos|alfa-bloqueantes adrenérgicos|antagonistas alfa-adrenérgicos|antagonistas alfaadrenérgicos|bloqueantes adrenérgicos alfa|bloqueantes alfa|bloqueantes alfa adrenérgicos|bloqueantes alfa-adrenérgicos|bloqueantes de los receptores adrenérgicos alfa|bloqueantes de los receptores alfa adrenérgicos|bloqueantes de receptores adrenérgicos alfa
321	agonistas adrenérgicos beta	Adrenergic beta-Agonists	D000318	Agonistas de los Receptores beta-Adrenérgicos|Agonistas de los beta-Receptores Adrenérgicos|beta-Agonistas Adrenérgicos|agonistas beta-adrenérgicos|agonistas de los receptores adrenérgicos beta|agonistas de los receptores betaadrenérgicos
